,DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,CANTIDAD
3208,ARAUCA,FORTUL,81300,GRANADA DE MANO,2019-11-14,1
3209,CAUCA,CALDONO,19137,CILINDRO BOMBA,2019-11-16,1
3210,ARAUCA,ARAUCA,81001,GRANADA DE FUSIL,2019-11-17,1
3211,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-11-21,1
3212,CAUCA,SANTANDER DE QUILICHAO,19698,CILINDRO BOMBA,2019-11-22,1
3213,ANTIOQUIA,TARAZA,5790,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-11-27,1
3214,VALLE DEL CAUCA,JAMUNDÍ,76364,GRANADA DE MANO,2019-11-29,1
3215,ANTIOQUIA,TARAZA,5790,ARMA DE FUEGO,2019-11-30,1
3216,VALLE DEL CAUCA,JAMUNDÍ,76364,GRANADA DE MANO,2019-11-30,1
3217,ANTIOQUIA,CACERES,5120,GRANADA DE MANO,2019-12-04,2
3218,ANTIOQUIA,TARAZA,5790,ARMA DE FUEGO,2019-12-04,1
3219,CAUCA,MIRANDA,19455,MOTO BOMBA,2019-12-07,1
3220,ANTIOQUIA,VALDIVIA,5854,COMBUSTIBLE,2019-12-09,1
3221,ANTIOQUIA,CACERES,5120,ARMA DE FUEGO,2019-12-09,1
3222,ANTIOQUIA,VALDIVIA,5854,ARMA DE FUEGO,2019-12-09,1
3223,BOYACA,CUBARÁ,15223,CARRO BOMBA,2019-12-12,1
3224,VALLE DEL CAUCA,FLORIDA,76275,MOTO BOMBA,2019-12-13,1
3225,QUINDIO,ARMENIA,63001,GRANADA DE MANO,2019-12-14,1
3226,ANTIOQUIA,VALDIVIA,5854,ARMA DE FUEGO,2019-12-26,1
3227,ANTIOQUIA,ANORI,5040,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2019-12-27,1
3228,CHOCÓ,JURADÓ,27372,ARTEFACTO INCENDIARIO,2020-01-01,1
3229,QUINDIO,PIJAO,63548,NO REPORTADO,2020-01-01,1
3230,CAUCA,SANTANDER DE QUILICHAO,19698,GRANADA DE MANO,2020-01-04,1
3231,SUCRE,SINCÉ,70742,NO REPORTADO,2020-01-05,1
3232,BOLIVAR,SANTA ROSA DEL SUR,13688,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-07,1
3233,LA GUAJIRA,VILLANUEVA,44874,NO REPORTADO,2020-01-07,1
3234,LA GUAJIRA,VILLANUEVA,44874,NO REPORTADO,2020-01-07,1
3235,CUNDINAMARCA,MADRID,25430,NO REPORTADO,2020-01-09,1
3236,ARAUCA,ARAUQUITA,81065,ARTEFACTO EXPLOSIVO/CARGA DINAMITA,2020-01-10,1
3237,ARAUCA,ARAUCA,81001,NO REPORTADO,2020-01-10,1
3238,ARAUCA,TAME,81794,CILINDRO BOMBA,2020-01-10,1
3239,CASANARE,YOPAL,85001,CILINDRO BOMBA,2020-01-10,1
3240,ARAUCA,SARAVENA,81736,NO REPORTADO,2020-01-12,1
