,FECHA HECHO,COD_DEPTO,DEPARTAMENTO,CODIGO DANE,MUNICIPIO,TIPO DELITO,CANTIDAD,MES DE SECUESTRO
11082,2002-08-12,73,TOLIMA,73055,ARMERO,SECUESTRO EXTORSIVO,2,8
11083,2002-08-12,73,TOLIMA,73055,ARMERO,SECUESTRO SIMPLE,1,8
11084,2002-08-12,73,TOLIMA,73870,VILLAHERMOSA,SECUESTRO EXTORSIVO,1,8
11085,2002-08-13,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11086,2002-08-13,20,CESAR,20228,CURUMANI,SECUESTRO EXTORSIVO,1,8
11087,2002-08-13,63,QUINDÍO,63001,ARMENIA,SECUESTRO SIMPLE,1,8
11088,2002-08-13,76,VALLE DEL CAUCA,76246,EL CAIRO,SECUESTRO EXTORSIVO,3,8
11089,2002-08-13,81,ARAUCA,81001,ARAUCA,SECUESTRO SIMPLE,1,8
11090,2002-08-14,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,8
11091,2002-08-14,63,QUINDÍO,63001,ARMENIA,SECUESTRO SIMPLE,1,8
11092,2002-08-15,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,2,8
11093,2002-08-15,5,ANTIOQUIA,5197,COCORNA,SECUESTRO SIMPLE,1,8
11094,2002-08-15,8,ATLÁNTICO,8001,BARRANQUILLA,SECUESTRO EXTORSIVO,1,8
11095,2002-08-15,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,8
11096,2002-08-15,13,BOLÍVAR,13001,CARTAGENA,SECUESTRO EXTORSIVO,1,8
11097,2002-08-15,18,CAQUETÁ,18001,FLORENCIA,SECUESTRO EXTORSIVO,1,8
11098,2002-08-15,73,TOLIMA,73411,LIBANO,SECUESTRO EXTORSIVO,1,8
11099,2002-08-15,76,VALLE DEL CAUCA,76243,EL AGUILA,SECUESTRO EXTORSIVO,2,8
11100,2002-08-16,5,ANTIOQUIA,5652,SAN FRANCISCO,SECUESTRO EXTORSIVO,2,8
11101,2002-08-16,5,ANTIOQUIA,5652,SAN FRANCISCO,SECUESTRO SIMPLE,1,8
11102,2002-08-16,11,CUNDINAMARCA,11001,"BOGOTA, D.C.",SECUESTRO EXTORSIVO,1,8
11103,2002-08-16,20,CESAR,20001,VALLEDUPAR,SECUESTRO SIMPLE,1,8
11104,2002-08-16,25,CUNDINAMARCA,25040,ANOLAIMA,SECUESTRO EXTORSIVO,1,8
11105,2002-08-17,5,ANTIOQUIA,5697,EL SANTUARIO,SECUESTRO EXTORSIVO,1,8
11106,2002-08-17,13,BOLÍVAR,13001,CARTAGENA,SECUESTRO SIMPLE,1,8
11107,2002-08-17,25,CUNDINAMARCA,25513,PACHO,SECUESTRO EXTORSIVO,2,8
11108,2002-08-17,50,META,50001,VILLAVICENCIO,SECUESTRO SIMPLE,1,8
11109,2002-08-17,76,VALLE DEL CAUCA,76109,BUENAVENTURA,SECUESTRO EXTORSIVO,1,8
11110,2002-08-18,5,ANTIOQUIA,5313,GRANADA,SECUESTRO EXTORSIVO,1,8
11111,2002-08-18,5,ANTIOQUIA,5652,SAN FRANCISCO,SECUESTRO EXTORSIVO,1,8
11112,2002-08-19,5,ANTIOQUIA,5172,CHIGORODO,SECUESTRO EXTORSIVO,5,8
11113,2002-08-19,5,ANTIOQUIA,5172,CHIGORODO,SECUESTRO SIMPLE,8,8
11114,2002-08-19,5,ANTIOQUIA,5234,DABEIBA,SECUESTRO SIMPLE,1,8
11115,2002-08-19,15,BOYACÁ,15542,PESCA,SECUESTRO EXTORSIVO,2,8
11116,2002-08-19,17,CALDAS,17013,AGUADAS,SECUESTRO EXTORSIVO,1,8
11117,2002-08-19,25,CUNDINAMARCA,25290,FUSAGASUGA,SECUESTRO EXTORSIVO,1,8
11118,2002-08-19,27,CHOCÓ,27075,BAHIA SOLANO,SECUESTRO EXTORSIVO,8,8
11119,2002-08-19,44,LA GUAJIRA,44001,RIOHACHA,SECUESTRO EXTORSIVO,1,8
11120,2002-08-20,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11121,2002-08-20,5,ANTIOQUIA,5591,PUERTO TRIUNFO,SECUESTRO EXTORSIVO,1,8
11122,2002-08-20,15,BOYACÁ,15759,SOGAMOSO,SECUESTRO EXTORSIVO,1,8
11123,2002-08-20,27,CHOCÓ,27075,BAHIA SOLANO,SECUESTRO EXTORSIVO,22,8
11124,2002-08-20,52,NARIÑO,52356,IPIALES,SECUESTRO EXTORSIVO,1,8
11125,2002-08-20,54,NORTE DE SANTANDER,54871,VILLA CARO,SECUESTRO EXTORSIVO,1,8
11126,2002-08-20,68,SANTANDER,68547,PIEDECUESTA,SECUESTRO SIMPLE,1,8
11127,2002-08-21,5,ANTIOQUIA,5854,VALDIVIA,SECUESTRO EXTORSIVO,2,8
11128,2002-08-21,15,BOYACÁ,15176,CHIQUINQUIRA,SECUESTRO EXTORSIVO,1,8
11129,2002-08-21,20,CESAR,20011,AGUACHICA,SECUESTRO EXTORSIVO,6,8
11130,2002-08-21,20,CESAR,20011,AGUACHICA,SECUESTRO SIMPLE,4,8
11131,2002-08-21,25,CUNDINAMARCA,25320,GUADUAS,SECUESTRO EXTORSIVO,1,8
11132,2002-08-21,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO SIMPLE,1,8
11133,2002-08-21,86,PUTUMAYO,86568,PUERTO ASIS,SECUESTRO EXTORSIVO,1,8
11134,2002-08-22,5,ANTIOQUIA,5001,MEDELLIN,SECUESTRO EXTORSIVO,1,8
11135,2002-08-22,20,CESAR,20750,SAN DIEGO,SECUESTRO EXTORSIVO,1,8
11136,2002-08-22,47,MAGDALENA,47001,SANTA MARTA,SECUESTRO EXTORSIVO,1,8
11137,2002-08-22,68,SANTANDER,68001,BUCARAMANGA,SECUESTRO SIMPLE,1,8
11138,2002-08-22,68,SANTANDER,68615,RIONEGRO,SECUESTRO EXTORSIVO,1,8
11139,2002-08-22,73,TOLIMA,73168,CHAPARRAL,SECUESTRO SIMPLE,1,8
11140,2002-08-22,76,VALLE DEL CAUCA,76243,EL AGUILA,SECUESTRO EXTORSIVO,3,8
11141,2002-08-22,76,VALLE DEL CAUCA,76834,TULUA,SECUESTRO SIMPLE,3,8
11142,2002-08-23,5,ANTIOQUIA,5313,GRANADA,SECUESTRO EXTORSIVO,2,8
11143,2002-08-23,19,CAUCA,19455,MIRANDA,SECUESTRO SIMPLE,1,8
11144,2002-08-23,20,CESAR,20001,VALLEDUPAR,SECUESTRO EXTORSIVO,2,8
11145,2002-08-23,70,SUCRE,70508,OVEJAS,SECUESTRO EXTORSIVO,1,8
11146,2002-08-23,86,PUTUMAYO,86001,MOCOA,SECUESTRO EXTORSIVO,1,8
11147,2002-08-23,86,PUTUMAYO,86001,MOCOA,SECUESTRO SIMPLE,1,8
