DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,05042000,SIN EMPLEO DE ARMAS,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,CHOCONTÁ,25183000,SIN EMPLEO DE ARMAS,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,FONSECA,44279000,SIN EMPLEO DE ARMAS,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN BENITO ABAD,70678000,SIN EMPLEO DE ARMAS,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN JUAN DE BETULIA,70702000,SIN EMPLEO DE ARMAS,19/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN LUIS DE SINCÉ,70742000,SIN EMPLEO DE ARMAS,19/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,SARAVENA,81736000,ARMA DE FUEGO,20/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
ATLÁNTICO,BARRANQUILLA (CT),08001000,ARMA DE FUEGO,20/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,20/06/2019,FEMENINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,20/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOLÍVAR,EL CARMEN DE BOLÍVAR,13244000,ARMA BLANCA / CORTOPUNZANTE,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,ARMA DE FUEGO,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,URIBE,50370000,NO REPORTA,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,BARRANCABERMEJA,68081000,NO REPORTA,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,TULUÁ,76834000,NO REPORTA,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,CAUCASIA,05154000,SIN EMPLEO DE ARMAS,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SANTAFÉ DE ANTIOQUIA,05042000,SIN EMPLEO DE ARMAS,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,MERCADERES,19450000,SIN EMPLEO DE ARMAS,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,PUERTO LIBERTADOR,23580000,SIN EMPLEO DE ARMAS,20/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FACATATIVÁ,25269000,SIN EMPLEO DE ARMAS,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,TÚQUERRES,52838000,SIN EMPLEO DE ARMAS,20/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,BUCARAMANGA (CT),68001000,SIN EMPLEO DE ARMAS,20/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,COYAIMA,73217000,SIN EMPLEO DE ARMAS,20/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
VALLE,SAN PEDRO,76670000,SIN EMPLEO DE ARMAS,20/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,SAN ANDRES DE TUMACO,52835000,ARMA DE FUEGO,21/06/2019,NO REPORTA,NO REPORTA,HURTO PIRATERÍA TERRESTRE,1
VALLE,BUENAVENTURA,76109000,ARMA DE FUEGO,21/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,BOGOTÁ D.C. (CT),11001000,ARMA DE FUEGO,21/06/2019,NO REPORTA,NO REPORTA,HURTO ENTIDADES FINANCIERAS,2
ARAUCA,ARAUCA (CT),81001000,ARMA BLANCA / CORTOPUNZANTE,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,GUAMAL,50318000,ARMA BLANCA / CORTOPUNZANTE,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
RISARALDA,PEREIRA (CT),66001000,ARMA BLANCA / CORTOPUNZANTE,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,TOLÚ VIEJO,70823000,ARMA BLANCA / CORTOPUNZANTE,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,YOLOMBÓ,05890000,NO REPORTA,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SALGAR,05642000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLÍVAR,SANTA ROSA,13683000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,FIRAVITOBA,15272000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,ALBANIA,44035000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAJIRA,MAICAO,44430000,SIN EMPLEO DE ARMAS,21/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
NORTE DE SANTANDER,CHINÁCOTA,54172000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NORTE DE SANTANDER,MUTISCUA,54480000,SIN EMPLEO DE ARMAS,21/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
MAGDALENA,PLATO,47555000,ARMA DE FUEGO,22/06/2019,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOYACÁ,CUCAITA,15224000,ARMA BLANCA / CORTOPUNZANTE,22/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,2
BOYACÁ,CUCAITA,15224000,ARMA BLANCA / CORTOPUNZANTE,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,EL PASO,20250000,ARMA BLANCA / CORTOPUNZANTE,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN MARCOS,70708000,ARMA BLANCA / CORTOPUNZANTE,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,SUÁREZ,73770000,ARMA BLANCA / CORTOPUNZANTE,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,MAJAGUAL,70429000,NO REPORTA,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SAN JERÓNIMO,05656000,SIN EMPLEO DE ARMAS,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,ARAUCA (CT),81001000,SIN EMPLEO DE ARMAS,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,SANTA ROSA DE VITERBO,15693000,SIN EMPLEO DE ARMAS,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,MILÁN,18460000,SIN EMPLEO DE ARMAS,22/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,LA PAZ,20621000,SIN EMPLEO DE ARMAS,22/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,SIN EMPLEO DE ARMAS,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,TENJO,25799000,SIN EMPLEO DE ARMAS,22/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN JUAN DE BETULIA,70702000,SIN EMPLEO DE ARMAS,22/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
BOLÍVAR,SANTA ROSA,13683000,ARMA BLANCA / CORTOPUNZANTE,23/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,AGUAZUL,85010000,ARMA BLANCA / CORTOPUNZANTE,23/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,GUAMAL,50318000,NO REPORTA,23/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,SOCOTÁ,15755000,SIN EMPLEO DE ARMAS,23/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PAZ DE ARIPORO,85250000,SIN EMPLEO DE ARMAS,23/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,GUADUAS,25320000,SIN EMPLEO DE ARMAS,23/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SIBATÉ,25740000,SIN EMPLEO DE ARMAS,23/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,IBAGUÉ (CT),73001000,SIN EMPLEO DE ARMAS,23/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,NATAGAIMA,73483000,SIN EMPLEO DE ARMAS,23/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,TABIO,25785000,ARMA BLANCA / CORTOPUNZANTE,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,GUADALAJARA DE BUGA,76111000,ARMA BLANCA / CORTOPUNZANTE,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,PELAYA,20550000,SIN EMPLEO DE ARMAS,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,SAHAGÚN,23660000,SIN EMPLEO DE ARMAS,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
GUAVIARE,MIRAFLORES,95200000,SIN EMPLEO DE ARMAS,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,TOLÚ VIEJO,70823000,SIN EMPLEO DE ARMAS,24/06/2019,FEMENINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,HONDA,73349000,SIN EMPLEO DE ARMAS,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE,TULUÁ,76834000,SIN EMPLEO DE ARMAS,24/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,JERICÓ,05368000,ARMA BLANCA / CORTOPUNZANTE,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,MONTERÍA (CT),23001000,ARMA BLANCA / CORTOPUNZANTE,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN CARLOS DE GUAROA,50680000,ARMA BLANCA / CORTOPUNZANTE,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,EL ROBLE,70233000,ARMA BLANCA / CORTOPUNZANTE,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACÁ,MONIQUIRÁ,15469000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,MANÍ,85139000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR (CT),20001000,SIN EMPLEO DE ARMAS,25/06/2019,MASCULINO,ADULTOS,HURTO ABIGEATO,1
