DEPARTAMENTO,MUNICIPIO,CODIGO DANE,ARMAS MEDIOS,FECHA HECHO,GENERO,GRUPO ETARIO,TIPO DE HURTO,CANTIDAD
LA GUAJIRA,SAN JUAN DEL CESAR,44650,ARMA BLANCA / CORTOPUNZANTE,7/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,SOTAQUIRÁ,15763,NO REPORTADO,7/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,AGUAZUL,85010,NO REPORTADO,7/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,2
ANTIOQUIA,COPACABANA,5212,ARMA DE FUEGO,8/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,SAN PEDRO,76670,ARMA DE FUEGO,8/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,CANDELARIA,76130,ARMA BLANCA / CORTOPUNZANTE,8/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PAZ DE ARIPORO,85250,NO REPORTADO,8/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,CIMITARRA,68190,NO REPORTADO,8/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,SEVILLA,76736,NO REPORTADO,8/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,CANDELARIA,76130,ARMA DE FUEGO,9/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
BOLIVAR,CALAMAR,13140,NO REPORTADO,9/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,CAMPOALEGRE,41132,NO REPORTADO,9/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,CASTILLA LA NUEVA,50150,NO REPORTADO,9/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,CIMITARRA,68190,NO REPORTADO,9/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
TOLIMA,IBAGUÉ,73001,NO REPORTADO,9/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,ARAUCA,81001,ARMA BLANCA / CORTOPUNZANTE,10/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,NUNCHÍA,85225,NO REPORTADO,10/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PALERMO,41524,NO REPORTADO,10/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
RISARALDA,DOS QUEBRADAS,66170,NO REPORTADO,10/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,SAMANÁ,17662,NO REPORTADO,11/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,GARZÓN,41298,NO REPORTADO,12/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA,41001,NO REPORTADO,12/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYÁN,19001,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA,41001,NO REPORTADO,13/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,EL CASTILLO,50251,NO REPORTADO,13/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO,50001,NO REPORTADO,13/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,MANIZALES,17001,ARMA DE FUEGO,14/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CAUCA,TIMBÍO,19807,ARMA DE FUEGO,14/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,FUSAGASUGÁ,25290,ARMA DE FUEGO,14/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
NORTE DE SANTANDER,SILOS,54743,ARMA DE FUEGO,14/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
ATLANTICO,SABANAGRANDE,8634,ARMA DE FUEGO,14/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,MANATÍ,8436,NO REPORTADO,14/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAMPUÉS,70670,NO REPORTADO,14/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,5088,ARMA DE FUEGO,15/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
HUILA,TIMANÁ,41807,ARMA DE FUEGO,15/01/2010,FEMENINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOYACA,CHIQUINQUIRÁ,15176,NO REPORTADO,15/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,MORELIA,18479,NO REPORTADO,15/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,2
META,EL CASTILLO,50251,NO REPORTADO,15/01/2010,NO REPORTADO,NO REPORTADO,HURTO ABIGEATO,1
SUCRE,SINCÉ,70742,NO REPORTADO,15/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,5088,ARMA DE FUEGO,16/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
LA GUAJIRA,VILLANUEVA,44874,ARMA BLANCA / CORTOPUNZANTE,16/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLIVAR,SAN JACINTO,13654,ARMA DE FUEGO,16/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,COLOMBIA,41206,NO REPORTADO,16/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,LEJANÍAS,50400,NO REPORTADO,16/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUACHICA,20011,ARMA BLANCA / CORTOPUNZANTE,17/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
LA GUAJIRA,FONSECA,44279,NO REPORTADO,17/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SANTANDER,MOGOTES,68464,NO REPORTADO,17/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,BUGA,76111,NO REPORTADO,17/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,5088,ARMA DE FUEGO,18/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,SOACHA,25754,ARMA DE FUEGO,18/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,YUMBO,76892,ARMA DE FUEGO,18/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CESAR,VALLEDUPAR,20001,ARMA BLANCA / CORTOPUNZANTE,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
LA GUAJIRA,RIOHACHA,44001,ARMA BLANCA / CORTOPUNZANTE,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,TORO,76823,ARMA DE FUEGO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SANTANDER DE QUILICHAO,19698,NO REPORTADO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
LA GUAJIRA,EL MOLINO,44110,NO REPORTADO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,GIGANTE,41306,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,VILLAVIEJA,41872,NO REPORTADO,18/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
META,VISTA HERMOSA,50711,NO REPORTADO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SINCÉ,70742,NO REPORTADO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,BUGA,76111,NO REPORTADO,18/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,SUTAMARCHÁN,15776,ARMA DE FUEGO,19/01/2010,NO REPORTADO,NO REPORTADO,HURTO ENTIDADES FINANCIERAS,1
ARAUCA,ARAUCA,81001,NO REPORTADO,19/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,POPAYÁN,19001,NO REPORTADO,19/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,GACHETÁ,25297,NO REPORTADO,19/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,IPIALES,52356,NO REPORTADO,19/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,BELLO,5088,ARMA DE FUEGO,20/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,YUMBO,76892,ARMA DE FUEGO,20/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
BOLIVAR,SIMITÍ,13744,NO REPORTADO,20/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,CHÍA,25175,NO REPORTADO,20/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,21/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,21/01/2010,NO REPORTADO,NO REPORTADO,HURTO ENTIDADES FINANCIERAS,1
CESAR,LA GLORIA,20383,ARMA BLANCA / CORTOPUNZANTE,21/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,PUERTO BOYACÁ,15572,NO REPORTADO,21/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,AIPE,41016,NO REPORTADO,21/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN MARTÍN,50689,NO REPORTADO,21/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,VILLAVICENCIO,50001,NO REPORTADO,21/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,SEVILLA,76736,NO REPORTADO,21/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,SANTAFE DE ANTIOQUIA,5042,ARMA DE FUEGO,22/01/2010,FEMENINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
TOLIMA,COELLO,73200,ARMA DE FUEGO,22/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,CALI,76001,ARMA DE FUEGO,22/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,ARMA DE FUEGO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,COMBITA,15204,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,SANTANDER DE QUILICHAO,19698,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,CANALETE,23090,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SOACHA,25754,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,2
HUILA,CAMPOALEGRE,41132,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,LA PLATA,41396,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,LEJANÍAS,50400,NO REPORTADO,22/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,COROZAL,70215,NO REPORTADO,22/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,23/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,CALI,76001,ARMA DE FUEGO,23/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
META,PUERTO GAITÁN,50568,ARMA BLANCA / CORTOPUNZANTE,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,LA CUMBRE,76377,ARMA BLANCA / CORTOPUNZANTE,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,TIBASOSA,15806,NO REPORTADO,23/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,AGUAZUL,85010,NO REPORTADO,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,CANALETE,23090,NO REPORTADO,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
PUTUMAYO,SANTIAGO,86760,NO REPORTADO,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SINCELEJO,70001,NO REPORTADO,23/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,OVEJAS,70508,ARMA DE FUEGO,24/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
HUILA,PITALITO,41551,NO REPORTADO,24/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,25/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,GUADUAS,25320,NO REPORTADO,25/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,VIJES,76869,ARMA DE FUEGO,25/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ATLANTICO,LURUACO,8421,NO REPORTADO,25/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,GARZÓN,41298,NO REPORTADO,25/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CESAR,AGUACHICA,20011,ARMA BLANCA / CORTOPUNZANTE,26/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CESAR,VALLEDUPAR,20001,ARMA BLANCA / CORTOPUNZANTE,26/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,SAN VICENTE DEL CAGUÁN,18753,ARMA DE FUEGO,26/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,2
BOGOTA D.C.,BOGOTÁ D.C.,11001,NO REPORTADO,26/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SAN JUAN DE RIOSECO,25662,NO REPORTADO,26/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,GALERAS,70235,NO REPORTADO,26/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FUNZA,25286,ARMA DE FUEGO,27/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CALDAS,CHINCHINÁ,17174,ARMA DE FUEGO,27/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,GACHETÁ,25297,NO REPORTADO,27/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,CASTILLA LA NUEVA,50150,NO REPORTADO,27/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,EL ROBLE,70233,NO REPORTADO,27/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
PUTUMAYO,PUERTO ASÍS,86568,ARMA DE FUEGO,28/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
VALLE DEL CAUCA,CALI,76001,ARMA DE FUEGO,28/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
SUCRE,COROZAL,70215,ARMA DE FUEGO,28/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CALDAS,MANIZALES,17001,NO REPORTADO,28/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,NO REPORTADO,28/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
HUILA,LA PLATA,41396,NO REPORTADO,28/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ARAUCA,SARAVENA,81736,ARMA DE FUEGO,29/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOYACA,GARAGOA,15299,NO REPORTADO,29/01/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,YOPAL,85001,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,EL DORADO,50270,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,SAN JUAN DE ARAMA,50683,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,COROZAL,70215,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SAN JUAN BETULIA,70702,NO REPORTADO,29/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,MUTATA,5480,ARMA DE FUEGO,30/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
SANTANDER,PIEDECUESTA,68547,ARMA DE FUEGO,30/01/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CAUCA,PATÍA,19532,NO REPORTADO,30/01/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
CAQUETÁ,MORELIA,18479,ARMA BLANCA / CORTOPUNZANTE,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
VALLE DEL CAUCA,CARTAGO,76147,ARMA DE FUEGO,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,MORELIA,18479,NO REPORTADO,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,GRANADA,25312,NO REPORTADO,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,SOACHA,25754,NO REPORTADO,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,YAGUARÁ,41885,NO REPORTADO,30/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA,41001,ARMA BLANCA / CORTOPUNZANTE,31/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,FUENTE DE ORO,50287,NO REPORTADO,31/01/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOYACA,BELÉN,15087,NO REPORTADO,1/02/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CASANARE,PORE,85263,NO REPORTADO,1/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,NEIVA,41001,ARMA DE FUEGO,2/02/2010,MASCULINO,ADULTOS,HURTO PIRATERÍA TERRESTRE,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,CONTUNDENTES,2/02/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,2/02/2010,NO REPORTADO,NO REPORTADO,HURTO ENTIDADES FINANCIERAS,1
VALLE DEL CAUCA,CANDELARIA,76130,ARMA BLANCA / CORTOPUNZANTE,2/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,PATÍA,19532,NO REPORTADO,2/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CÓRDOBA,TIERRALTA,23807,NO REPORTADO,2/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,NO REPORTADO,2/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,UBAQUE,25841,NO REPORTADO,2/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,NO REPORTADO,3/02/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,FACATATIVÁ,25269,NO REPORTADO,3/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CUNDINAMARCA,TOCAIMA,25815,NO REPORTADO,3/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,PITALITO,41551,NO REPORTADO,3/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
META,MESETAS,50330,NO REPORTADO,3/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
CAQUETÁ,FLORENCIA,18001,ARMA BLANCA / CORTOPUNZANTE,4/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
ANTIOQUIA,PUERTO NARE,5585,NO REPORTADO,4/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLIVAR,MOMPÓS,13468,NO REPORTADO,4/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOLIVAR,SAN JUAN NEPOMUCENO,13657,NO REPORTADO,4/02/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
CAUCA,PATÍA,19532,NO REPORTADO,4/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
NARIÑO,EL TAMBO,52260,NO REPORTADO,4/02/2010,FEMENINO,ADULTOS,HURTO ABIGEATO,1
SUCRE,SINCÉ,70742,NO REPORTADO,4/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
HUILA,LA PLATA,41396,NO REPORTADO,5/02/2010,MASCULINO,ADULTOS,HURTO ABIGEATO,1
BOGOTA D.C.,BOGOTÁ D.C.,11001,ARMA DE FUEGO,6/02/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
CUNDINAMARCA,GRANADA,25312,NO REPORTADO,6/02/2010,NO REPORTADO,NO REPORTADO,HURTO PIRATERÍA TERRESTRE,1
